VirtualPortGroup,PhysicalGroup,SPA Port,SPB Port,SPA Port,SPB Port,
VG55,PG1,spa_ocp_0_eth0,spb_ocp_0_eth0,spa_iom_0_eth2,spb_iom_0_eth2,
VG56,PG2,spa_ocp_0_eth1,spb_ocp_0_eth1,spa_iom_0_eth3,spb_iom_0_eth3,
VG57,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
VG58,PG4,spa_iom_0_eth1,spb_iom_0_eth1,spa_iom_1_eth3,spb_iom_1_eth3,
VG59,PG5,spa_iom_1_eth0,spb_iom_1_eth0,spa_ocp_0_eth2,spb_ocp_0_eth2,
VG60,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
VG61,PG1,spa_ocp_0_eth0,spb_ocp_0_eth0,spa_iom_0_eth2,spb_iom_0_eth2,
VG62,PG2,spa_ocp_0_eth1,spb_ocp_0_eth1,spa_iom_0_eth3,spb_iom_0_eth3,
VG63,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
VG64,PG4,spa_iom_0_eth1,spb_iom_0_eth1,spa_iom_1_eth3,spb_iom_1_eth3,
VG65,PG5,spa_iom_1_eth0,spb_iom_1_eth0,spa_ocp_0_eth2,spb_ocp_0_eth2,
VG66,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
VG67,PG1,spa_ocp_0_eth0,spb_ocp_0_eth0,spa_iom_0_eth2,spb_iom_0_eth2,
VG68,PG2,spa_ocp_0_eth1,spb_ocp_0_eth1,spa_iom_0_eth3,spb_iom_0_eth3,
VG69,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
VG70,PG4,spa_iom_0_eth1,spb_iom_0_eth1,spa_iom_1_eth3,spb_iom_1_eth3,
VG71,PG5,spa_iom_1_eth0,spb_iom_1_eth0,spa_ocp_0_eth2,spb_ocp_0_eth2,
VG72,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
VG73,PG1,spa_ocp_0_eth0,spb_ocp_0_eth0,spa_iom_0_eth2,spb_iom_0_eth2,
VG74,PG2,spa_ocp_0_eth1,spb_ocp_0_eth1,spa_iom_0_eth3,spb_iom_0_eth3,
VG75,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
VG76,PG4,spa_iom_0_eth1,spb_iom_0_eth1,spa_iom_1_eth3,spb_iom_1_eth3,
VG77,PG5,spa_iom_1_eth0,spb_iom_1_eth0,spa_ocp_0_eth2,spb_ocp_0_eth2,
VG78,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
VG79,PG1,spa_ocp_0_eth0,spb_ocp_0_eth0,spa_iom_0_eth2,spb_iom_0_eth2,
VG80,PG2,spa_ocp_0_eth1,spb_ocp_0_eth1,spa_iom_0_eth3,spb_iom_0_eth3,
VG81,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
VG82,PG4,spa_iom_0_eth1,spb_iom_0_eth1,spa_iom_1_eth3,spb_iom_1_eth3,
VG83,PG5,spa_iom_1_eth0,spb_iom_1_eth0,spa_ocp_0_eth2,spb_ocp_0_eth2,
VG84,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
VG85,PG1,spa_ocp_0_eth0,spb_ocp_0_eth0,spa_iom_0_eth2,spb_iom_0_eth2,
VG86,PG2,spa_ocp_0_eth1,spb_ocp_0_eth1,spa_iom_0_eth3,spb_iom_0_eth3,
VG87,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
